epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.677,0.76864,2.11641,1.27905,1,0.26655,0.83795,0.65568,0.43219,2.51874,1.04073,0.00024,0.00024,0.00024
2,193.486,0.66445,1.20356,1.16033,0.68906,0.39527,0.64891,0.50357,0.66514,2.48672,1.22625,0.00049505,0.00049505,0.00049505
3,285.354,0.65478,1.08251,1.15349,0.88393,0.71622,0.81598,0.6156,0.79268,1.91665,1.43181,0.000744952,0.000744952,0.000744952
4,373.453,0.68874,1.0834,1.19172,0.80176,0.72973,0.79917,0.57413,0.99687,1.96284,1.85888,0.000989706,0.000989706,0.000989706
5,461.548,0.68843,1.07751,1.1657,0.84394,0.74905,0.82763,0.61987,0.86859,1.85794,1.625,0.00122931,0.00122931,0.00122931
6,550.622,0.67155,0.95405,1.16344,0.77725,0.7073,0.77327,0.55669,1.00077,1.89301,1.58843,0.00146377,0.00146377,0.00146377
7,643.453,0.75506,0.9873,1.23453,0.84773,0.78041,0.8529,0.51065,1.22031,2.09258,1.93192,0.00169308,0.00169308,0.00169308
8,731.968,0.67836,0.92013,1.17583,0.86872,0.77703,0.82445,0.60224,0.92382,1.54967,1.51962,0.0018614,0.0018614,0.0018614
9,820.901,0.71237,0.92321,1.17617,0.75914,0.84119,0.8722,0.64509,0.89835,1.63936,1.43866,0.0018416,0.0018416,0.0018416
10,909.397,0.71774,0.92212,1.19768,0.79242,0.7027,0.81508,0.53201,1.18872,1.86045,1.87093,0.0018218,0.0018218,0.0018218
11,994.891,0.69707,0.86725,1.15894,0.72101,0.58499,0.70035,0.49615,1.15079,2.36117,1.55382,0.001802,0.001802,0.001802
12,1084.5,0.67578,0.83909,1.16618,0.72385,0.84459,0.83842,0.63268,0.8236,1.38124,1.41473,0.0017822,0.0017822,0.0017822
13,1172.69,0.66345,0.75403,1.14255,0.83822,0.80743,0.84918,0.63434,0.98568,1.43431,1.79008,0.0017624,0.0017624,0.0017624
14,1261.71,0.63239,0.7548,1.13285,0.75179,0.75338,0.79306,0.50023,1.16894,1.54068,1.84478,0.0017426,0.0017426,0.0017426
15,1350.61,0.673,0.7712,1.13439,0.87702,0.84321,0.88952,0.62618,1.05026,1.19902,1.57199,0.0017228,0.0017228,0.0017228
16,1439.25,0.65497,0.72821,1.13409,0.94034,0.85204,0.94443,0.78151,0.68887,0.78314,1.25685,0.001703,0.001703,0.001703
17,1527.48,0.62942,0.72716,1.12908,0.80159,0.75338,0.84642,0.67568,0.73482,1.04811,1.29232,0.0016832,0.0016832,0.0016832
18,1616.36,0.59893,0.64923,1.10869,0.96338,0.88872,0.96125,0.81473,0.58459,0.71357,1.16844,0.0016634,0.0016634,0.0016634
19,1703.95,0.63599,0.67041,1.14744,0.89393,0.91554,0.94964,0.7816,0.70377,0.92389,1.37599,0.0016436,0.0016436,0.0016436
20,1794.04,0.61777,0.6508,1.1251,0.92754,0.90541,0.94442,0.76485,0.73813,0.77661,1.37396,0.0016238,0.0016238,0.0016238
21,1883.54,0.63604,0.64654,1.10882,0.95782,0.92052,0.96088,0.82084,0.61445,0.7309,1.23493,0.001604,0.001604,0.001604
22,1971.32,0.60091,0.65,1.12614,0.94971,0.91554,0.96717,0.84268,0.54873,0.67553,1.15559,0.0015842,0.0015842,0.0015842
23,2058.95,0.61495,0.63903,1.12006,0.96723,0.94595,0.97792,0.85711,0.52646,0.61639,1.13452,0.0015644,0.0015644,0.0015644
24,2145.83,0.56379,0.59344,1.08746,0.95198,0.93581,0.97361,0.87586,0.47812,0.6544,1.04416,0.0015446,0.0015446,0.0015446
25,2233.33,0.55572,0.58805,1.06969,0.94159,0.92583,0.96788,0.85704,0.53408,0.59025,1.11723,0.0015248,0.0015248,0.0015248
26,2318.87,0.55906,0.58851,1.08702,0.96383,0.93581,0.96835,0.80297,0.66633,0.64163,1.21947,0.001505,0.001505,0.001505
27,2405.96,0.56097,0.57134,1.0903,0.95146,0.92712,0.97657,0.87177,0.49409,0.53655,1.07073,0.0014852,0.0014852,0.0014852
28,2492.78,0.54327,0.55008,1.0867,0.96217,0.94517,0.98104,0.84647,0.56985,0.56652,1.16842,0.0014654,0.0014654,0.0014654
29,2579.75,0.5979,0.5954,1.09684,0.97347,0.9527,0.98236,0.85721,0.50044,0.53222,1.0677,0.0014456,0.0014456,0.0014456
30,2665.95,0.54877,0.54338,1.06661,0.96163,0.92905,0.98117,0.86806,0.50919,0.60053,1.08007,0.0014258,0.0014258,0.0014258
31,2752.59,0.55031,0.54886,1.08389,0.95446,0.9527,0.98425,0.87202,0.53288,0.60719,1.10517,0.001406,0.001406,0.001406
32,2837.76,0.52743,0.51451,1.04017,0.97281,0.96716,0.98632,0.86967,0.46052,0.5063,1.03211,0.0013862,0.0013862,0.0013862
33,2922.22,0.53516,0.50845,1.04939,0.9013,0.88176,0.9426,0.81006,0.48317,0.78025,1.03625,0.0013664,0.0013664,0.0013664
34,3009.6,0.54199,0.54784,1.0752,0.89423,0.85473,0.92322,0.8194,0.5442,0.74039,1.06958,0.0013466,0.0013466,0.0013466
35,3097.16,0.56028,0.52351,1.05012,0.93731,0.88514,0.95354,0.83174,0.56215,0.67001,1.12817,0.0013268,0.0013268,0.0013268
36,3188.23,0.5052,0.48716,1.04857,0.96918,0.95617,0.98972,0.8657,0.5366,0.51609,1.19634,0.001307,0.001307,0.001307
37,3276.43,0.52005,0.50011,1.07827,0.96872,0.95946,0.98819,0.84262,0.64402,0.54716,1.32153,0.0012872,0.0012872,0.0012872
38,3363.95,0.50983,0.49239,1.04658,0.97264,0.96622,0.98938,0.89743,0.47109,0.49401,1.05547,0.0012674,0.0012674,0.0012674
39,3452.58,0.47971,0.48338,1.03557,0.97302,0.97459,0.98888,0.91796,0.39149,0.42572,0.97021,0.0012476,0.0012476,0.0012476
40,3540.1,0.48459,0.5004,1.04453,0.9669,0.96622,0.98764,0.88497,0.40456,0.46505,0.99275,0.0012278,0.0012278,0.0012278
41,3628.01,0.50494,0.46953,1.04713,0.96285,0.96305,0.98682,0.8937,0.41921,0.49783,1.01392,0.001208,0.001208,0.001208
42,3718.46,0.4583,0.4473,1.01426,0.9729,0.97021,0.99068,0.9088,0.41487,0.42683,0.99514,0.0011882,0.0011882,0.0011882
43,3809.17,0.50428,0.47177,1.05147,0.97286,0.96885,0.99102,0.91214,0.4003,0.41606,0.9997,0.0011684,0.0011684,0.0011684
44,3897.72,0.47789,0.45986,1.01403,0.98899,0.95946,0.99249,0.90919,0.38238,0.39866,0.95685,0.0011486,0.0011486,0.0011486
45,3987.67,0.4905,0.4674,1.05497,0.96653,0.97635,0.99009,0.91763,0.39119,0.38705,0.95275,0.0011288,0.0011288,0.0011288
46,4074.57,0.48584,0.45001,1.03205,0.98659,0.96622,0.98985,0.91112,0.38715,0.40007,0.96029,0.001109,0.001109,0.001109
47,4162.54,0.48834,0.45108,1.03936,0.9863,0.97268,0.99221,0.93227,0.36867,0.37974,0.94818,0.0010892,0.0010892,0.0010892
48,4252.07,0.47282,0.44291,1.01961,0.98303,0.97845,0.99275,0.93246,0.35884,0.37161,0.93799,0.0010694,0.0010694,0.0010694
49,4342.13,0.45179,0.42927,1.00049,0.99309,0.97151,0.99245,0.91955,0.38896,0.35786,0.96104,0.0010496,0.0010496,0.0010496
50,4429.79,0.49024,0.44965,1.03228,0.98641,0.97635,0.99349,0.93645,0.34436,0.33847,0.92399,0.0010298,0.0010298,0.0010298
51,4518.4,0.48443,0.44042,1.02627,0.98179,0.97635,0.99253,0.93699,0.31875,0.32976,0.90609,0.00101,0.00101,0.00101
52,4608.05,0.44458,0.41329,1.00318,0.98616,0.96309,0.98887,0.93325,0.32914,0.37056,0.90364,0.0009902,0.0009902,0.0009902
53,4692.2,0.42112,0.38904,0.98642,0.97662,0.96284,0.99195,0.93737,0.33714,0.36073,0.91746,0.0009704,0.0009704,0.0009704
54,4775.64,0.41386,0.38677,0.99872,0.97981,0.98375,0.99433,0.9414,0.33072,0.3326,0.91725,0.0009506,0.0009506,0.0009506
55,4878.65,0.426,0.39651,0.98622,0.98924,0.98311,0.99383,0.94311,0.33344,0.3219,0.91097,0.0009308,0.0009308,0.0009308
56,4973.49,0.40301,0.38178,0.99657,0.97257,0.98311,0.99367,0.94268,0.35498,0.33126,0.92174,0.000911,0.000911,0.000911
57,5072.9,0.44934,0.40185,1.01939,0.97008,0.98575,0.99313,0.93226,0.34942,0.35022,0.92251,0.0008912,0.0008912,0.0008912
58,5175.46,0.42373,0.38807,1.0089,0.98978,0.98179,0.9924,0.941,0.33781,0.32627,0.91336,0.0008714,0.0008714,0.0008714
59,5274.21,0.4258,0.38851,1.02056,0.9898,0.98343,0.99365,0.94449,0.32891,0.31985,0.90808,0.0008516,0.0008516,0.0008516
60,5374.94,0.42617,0.38224,1.00651,0.97643,0.99662,0.99439,0.95956,0.30425,0.28975,0.8906,0.0008318,0.0008318,0.0008318
61,5476.89,0.41967,0.385,1.01519,0.98007,0.99665,0.9947,0.95539,0.29438,0.28713,0.8816,0.000812,0.000812,0.000812
62,5576.67,0.41902,0.37901,0.99166,0.98652,0.989,0.99456,0.95502,0.30148,0.2994,0.88155,0.0007922,0.0007922,0.0007922
63,5677.3,0.39166,0.36023,0.99775,0.98996,0.99889,0.9949,0.96179,0.29108,0.28139,0.8763,0.0007724,0.0007724,0.0007724
64,5777.81,0.41099,0.36678,0.99749,0.9943,0.98986,0.99493,0.95841,0.29864,0.27865,0.87834,0.0007526,0.0007526,0.0007526
65,5877.3,0.37447,0.35086,0.98776,0.98946,0.99662,0.99476,0.95907,0.2854,0.27652,0.88111,0.0007328,0.0007328,0.0007328
66,5978.23,0.39451,0.37243,0.98164,0.98965,0.99662,0.99487,0.96111,0.31402,0.27729,0.91111,0.000713,0.000713,0.000713
67,6083.07,0.40929,0.36999,0.99034,0.9932,0.99662,0.99497,0.95999,0.29956,0.28156,0.89618,0.0006932,0.0006932,0.0006932
68,6193.17,0.39341,0.37093,0.97073,0.99324,0.99299,0.99487,0.96519,0.27336,0.26378,0.86637,0.0006734,0.0006734,0.0006734
69,6292.67,0.38989,0.35664,0.96662,0.98626,0.99662,0.99407,0.96111,0.27673,0.26568,0.86095,0.0006536,0.0006536,0.0006536
70,6393.82,0.35976,0.3426,0.97714,0.98898,1,0.99407,0.9651,0.25686,0.25094,0.85396,0.0006338,0.0006338,0.0006338
71,6492.07,0.35886,0.34085,0.97835,0.98996,0.99923,0.99473,0.96784,0.25803,0.25225,0.85612,0.000614,0.000614,0.000614
72,6593.49,0.38716,0.35653,0.98157,0.98974,0.99324,0.9948,0.96745,0.25431,0.25483,0.85405,0.0005942,0.0005942,0.0005942
73,6689.14,0.40706,0.38258,0.99853,0.99326,0.99585,0.99456,0.96763,0.27218,0.26114,0.86153,0.0005744,0.0005744,0.0005744
74,6783.58,0.36753,0.3329,0.96535,0.99154,0.99662,0.9946,0.96548,0.25849,0.25134,0.847,0.0005546,0.0005546,0.0005546
75,6876.28,0.35755,0.33788,0.96967,0.99328,0.99941,0.9947,0.97359,0.24217,0.23894,0.8421,0.0005348,0.0005348,0.0005348
76,6967.95,0.35533,0.32419,0.97663,0.99328,0.99938,0.9948,0.97398,0.24435,0.22705,0.84041,0.000515,0.000515,0.000515
77,7057.33,0.37021,0.35208,0.98795,0.99301,0.99662,0.9948,0.97404,0.25284,0.23477,0.84751,0.0004952,0.0004952,0.0004952
78,7146.55,0.37163,0.33321,0.97646,0.99326,0.99518,0.9948,0.97004,0.24378,0.23414,0.8431,0.0004754,0.0004754,0.0004754
79,7235.71,0.33164,0.3052,0.96372,0.99317,0.99324,0.99497,0.96894,0.24907,0.23043,0.84241,0.0004556,0.0004556,0.0004556
80,7324.72,0.3468,0.31788,0.95718,0.99325,0.99358,0.99493,0.97056,0.24673,0.23548,0.84573,0.0004358,0.0004358,0.0004358
81,7413.29,0.3356,0.31762,0.96803,0.99299,0.98986,0.9949,0.96789,0.25045,0.23682,0.84445,0.000416,0.000416,0.000416
82,7502.56,0.35329,0.31781,0.97073,0.99185,0.99662,0.9949,0.97289,0.24858,0.23422,0.84163,0.0003962,0.0003962,0.0003962
83,7585.64,0.33705,0.30954,0.95301,0.99496,0.99662,0.99497,0.97496,0.25526,0.24212,0.84964,0.0003764,0.0003764,0.0003764
84,7673.7,0.31974,0.30187,0.94008,0.99356,0.99662,0.99497,0.97475,0.23234,0.22721,0.83364,0.0003566,0.0003566,0.0003566
85,7760.81,0.33315,0.31191,0.94615,0.99276,0.99662,0.995,0.97479,0.23431,0.22646,0.83717,0.0003368,0.0003368,0.0003368
86,7845.45,0.32989,0.29825,0.94705,0.99224,0.99324,0.99497,0.9747,0.23463,0.22604,0.83647,0.000317,0.000317,0.000317
87,7930.46,0.34522,0.29875,0.95051,0.99103,0.99324,0.9949,0.97784,0.23179,0.22513,0.83051,0.0002972,0.0002972,0.0002972
88,8014.44,0.3129,0.28582,0.962,0.98995,0.99883,0.99493,0.97797,0.22215,0.2201,0.82297,0.0002774,0.0002774,0.0002774
89,8098.89,0.36187,0.30292,0.97626,0.98996,0.9991,0.99497,0.97811,0.22231,0.21966,0.82657,0.0002576,0.0002576,0.0002576
90,8183.85,0.32393,0.30535,0.95036,0.99055,0.99662,0.99493,0.97994,0.22315,0.21313,0.82589,0.0002378,0.0002378,0.0002378
91,8268.42,0.24429,0.2816,0.87995,0.99242,0.99662,0.99497,0.97772,0.22762,0.21967,0.82774,0.000218,0.000218,0.000218
92,8364.38,0.2471,0.26486,0.8976,0.99553,0.99662,0.99497,0.97934,0.23434,0.24064,0.8327,0.0001982,0.0001982,0.0001982
93,8450.53,0.22023,0.24843,0.87126,0.99833,0.99662,0.995,0.98059,0.227,0.24109,0.8294,0.0001784,0.0001784,0.0001784
94,8538.53,0.2334,0.2477,0.8891,0.99899,1,0.995,0.97948,0.21996,0.2249,0.82663,0.0001586,0.0001586,0.0001586
95,8627.49,0.22226,0.22402,0.87333,0.99663,0.99932,0.99493,0.97976,0.21596,0.22121,0.8216,0.0001388,0.0001388,0.0001388
96,8710.51,0.21926,0.21944,0.85225,0.99604,0.99662,0.99453,0.97702,0.21531,0.21942,0.81886,0.000119,0.000119,0.000119
97,8790.04,0.22631,0.21668,0.86153,0.99615,0.99662,0.99449,0.97873,0.21291,0.21593,0.81571,9.92e-05,9.92e-05,9.92e-05
98,8868.03,0.21364,0.22734,0.86226,0.99619,0.99662,0.99446,0.97859,0.21216,0.21384,0.81438,7.94e-05,7.94e-05,7.94e-05
99,8947.53,0.22173,0.21013,0.87086,0.99639,0.99662,0.99463,0.97837,0.2087,0.21187,0.81327,5.96e-05,5.96e-05,5.96e-05
100,9025.77,0.20992,0.21021,0.85891,0.99619,0.99662,0.99483,0.9798,0.20521,0.20791,0.81195,3.98e-05,3.98e-05,3.98e-05
