epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10579.9,0.59275,0.60215,1.03659,0.89986,0.82394,0.888,0.70674,0.73435,0.87192,1.12888,0.0014588,0.0014588,0.0014588
43,10700.6,0.55699,0.53699,1.03075,0.90707,0.8662,0.91672,0.75063,0.68526,0.74769,1.07919,0.0014456,0.0014456,0.0014456
44,10821.4,0.58074,0.53375,1.01839,0.96134,0.82394,0.89116,0.7199,0.67603,0.91874,1.08032,0.0014324,0.0014324,0.0014324
45,10941.7,0.6033,0.55621,1.08584,0.90898,0.84399,0.89903,0.77627,0.5889,0.85883,0.97963,0.0014192,0.0014192,0.0014192
46,11061.4,0.57318,0.50754,1.03112,0.95282,0.82394,0.91568,0.76537,0.61663,0.68169,0.9843,0.001406,0.001406,0.001406
47,11181.8,0.57136,0.5453,1.03755,0.93378,0.83099,0.89864,0.73004,0.6696,0.79501,1.03747,0.0013928,0.0013928,0.0013928
48,11302.6,0.57711,0.53712,1.01615,0.91025,0.85211,0.87797,0.73051,0.67744,0.79603,1.05574,0.0013796,0.0013796,0.0013796
49,11423.3,0.56555,0.51092,1.03826,0.8924,0.87606,0.89668,0.76075,0.63802,0.77407,1.02697,0.0013664,0.0013664,0.0013664
50,11544,0.55678,0.56823,1.0504,0.90948,0.89437,0.92529,0.77243,0.65012,0.67581,1.02914,0.0013532,0.0013532,0.0013532
51,11663.8,0.57487,0.5497,1.07313,0.93046,0.88028,0.93121,0.77179,0.66537,0.66538,1.01881,0.00134,0.00134,0.00134
52,11784.8,0.57313,0.53991,1.04169,0.86138,0.87525,0.88365,0.68765,0.74763,0.75896,1.18164,0.0013268,0.0013268,0.0013268
53,11904.3,0.56461,0.48622,1.03392,0.91553,0.89437,0.92008,0.75252,0.61251,0.64538,0.99824,0.0013136,0.0013136,0.0013136
54,12025.4,0.56047,0.49104,1.03553,0.94101,0.89864,0.93889,0.78549,0.60831,0.6191,0.97674,0.0013004,0.0013004,0.0013004
55,12146.2,0.54956,0.49447,1.01822,0.86956,0.7981,0.85124,0.62426,0.96055,1.03887,1.414,0.0012872,0.0012872,0.0012872
56,12266.8,0.53875,0.46553,1.02193,0.8538,0.80282,0.87464,0.66677,0.8809,0.90042,1.34758,0.001274,0.001274,0.001274
57,12387.4,0.51837,0.49062,1.0137,0.89714,0.91549,0.93601,0.78155,0.62012,0.63263,1.00566,0.0012608,0.0012608,0.0012608
58,12508.5,0.54514,0.48512,1.01319,0.87251,0.92254,0.93674,0.76648,0.66787,0.6781,1.03909,0.0012476,0.0012476,0.0012476
59,12637.1,0.51542,0.46721,1.00009,0.90559,0.8782,0.91928,0.78095,0.63291,0.6177,1.0076,0.0012344,0.0012344,0.0012344
60,12757.4,0.52281,0.46827,1.03692,0.93328,0.90845,0.94861,0.80124,0.60043,0.5361,0.99835,0.0012212,0.0012212,0.0012212
61,12877.8,0.57241,0.50182,1.06452,0.89376,0.89437,0.91865,0.78003,0.6039,0.55071,0.98549,0.001208,0.001208,0.001208
62,12997.6,0.48936,0.45793,1.01574,0.86111,0.91687,0.91565,0.78976,0.58137,0.57491,1.00113,0.0011948,0.0011948,0.0011948
63,13118.2,0.52927,0.46151,1.01329,0.92995,0.85915,0.90049,0.76437,0.62132,0.67107,1.0278,0.0011816,0.0011816,0.0011816
64,13238.1,0.4972,0.44935,0.99812,0.90447,0.86676,0.88375,0.75188,0.62948,0.74281,1.00784,0.0011684,0.0011684,0.0011684
65,13358.3,0.5001,0.44173,0.99871,0.88729,0.88705,0.9248,0.77492,0.59797,0.65323,0.99215,0.0011552,0.0011552,0.0011552
66,13478.6,0.50582,0.4508,1.01591,0.90188,0.90621,0.92824,0.79032,0.59932,0.61134,0.99741,0.001142,0.001142,0.001142
67,13599,0.51525,0.47265,1.00941,0.92187,0.91407,0.93907,0.79543,0.59709,0.61441,0.97304,0.0011288,0.0011288,0.0011288
68,13719.7,0.508,0.42859,0.97934,0.90095,0.8662,0.91763,0.77933,0.60244,0.65817,0.99065,0.0011156,0.0011156,0.0011156
69,13854,0.47366,0.41699,0.97911,0.90498,0.88028,0.9278,0.79016,0.60107,0.62083,1.0069,0.0011024,0.0011024,0.0011024
70,14003.8,0.49337,0.43244,0.99291,0.90472,0.93662,0.9422,0.80386,0.59681,0.58992,0.98191,0.0010892,0.0010892,0.0010892
71,14132.7,0.48658,0.50589,1.00764,0.92902,0.89437,0.93291,0.77541,0.61891,0.60804,1.00139,0.001076,0.001076,0.001076
