epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8937,0.96296,2.72692,1.36928,0.00367,1,0.55306,0.37461,0.29971,3.05106,1.03222,4e-05,4e-05,4e-05
2,44.3115,0.76669,2.52724,1.1896,0.00367,1,0.91946,0.76791,0.35918,3.01877,1.04717,9.802e-05,9.802e-05,9.802e-05
3,57.1461,0.78771,2.18134,1.1668,0.00367,1,0.98115,0.84679,0.42291,2.94244,1.09165,0.000153664,0.000153664,0.000153664
4,69.1933,0.80706,1.7946,1.21446,0.51024,1,0.94247,0.79877,0.48349,2.65125,1.1117,0.000206932,0.000206932,0.000206932
5,81.0722,0.61275,1.51942,1.1255,1,0.79803,0.98115,0.89654,0.44295,2.32214,1.06018,0.000257824,0.000257824,0.000257824
6,92.9431,0.67476,1.19903,1.1389,1,0.88476,0.995,0.9014,0.42603,2.2212,1.01914,0.00030634,0.00030634,0.00030634
7,104.718,0.72025,1.2549,1.10009,1,0.33001,0.995,0.9047,0.40187,2.54302,1.01111,0.00035248,0.00035248,0.00035248
8,116.534,0.64727,1.17375,1.08081,1,0.26369,0.965,0.86612,0.412,2.60887,1.05477,0.000396244,0.000396244,0.000396244
9,128.254,0.62037,1.0709,1.06597,0.73317,0.72727,0.83697,0.64615,0.66206,2.49771,1.28008,0.000437632,0.000437632,0.000437632
10,139.913,0.64908,1.0787,1.08499,0.99795,0.72727,0.93023,0.67903,0.79455,2.52013,1.66177,0.000476644,0.000476644,0.000476644
11,151.616,0.68438,1.05669,1.1178,0.8136,0.63636,0.81505,0.47282,1.35205,2.88147,2.95551,0.00051328,0.00051328,0.00051328
12,163.318,0.69918,1.10365,1.11524,0.91138,0.54545,0.76262,0.34712,1.8052,2.95452,4.60402,0.00054754,0.00054754,0.00054754
13,174.951,0.65123,1.09622,1.07809,0.80757,0.72727,0.79029,0.6001,1.20618,2.72285,2.8078,0.000579424,0.000579424,0.000579424
14,186.655,0.70101,1.06875,1.06922,1,0.54034,0.83615,0.65134,1.00887,2.64856,2.12995,0.000608932,0.000608932,0.000608932
15,198.465,0.65662,1.05688,1.09691,0.92911,0.54545,0.84944,0.55586,1.12445,2.7273,1.87038,0.000636064,0.000636064,0.000636064
16,211.391,0.61882,1.02025,1.07588,0.97613,0.63636,0.87943,0.61873,1.07339,2.59133,1.85792,0.00066082,0.00066082,0.00066082
17,223.83,0.61027,1.03931,1.019,0.98281,0.90909,0.91368,0.7232,0.6666,2.04787,1.35884,0.0006832,0.0006832,0.0006832
18,236.807,0.63508,0.99688,1.05097,1,0.88412,0.91838,0.7279,0.68919,2.037,1.29424,0.000703204,0.000703204,0.000703204
19,248.988,0.62848,0.99046,1.05837,0.99058,0.90909,0.93329,0.75126,0.58463,2.0857,1.21133,0.000720832,0.000720832,0.000720832
20,261.021,0.69078,0.93435,1.06426,1,0.88285,0.96687,0.75927,0.57626,2.18634,1.22879,0.000736084,0.000736084,0.000736084
21,273.29,0.60304,0.95389,1.04387,0.91146,0.93746,0.9875,0.76884,0.59725,2.01362,1.34877,0.00074896,0.00074896,0.00074896
22,285.041,0.61466,0.85536,1.02121,0.91459,0.97509,0.98,0.75472,0.63196,1.91294,1.48134,0.00075946,0.00075946,0.00075946
23,296.663,0.61943,0.90348,1.01101,0.98329,0.81818,0.98,0.76368,0.71458,1.83209,1.64684,0.000767584,0.000767584,0.000767584
24,308.304,0.54039,0.85067,1.01333,0.90557,0.87392,0.98,0.72043,0.71517,1.84279,1.54445,0.000773332,0.000773332,0.000773332
25,319.911,0.56717,0.90725,1.05452,0.95566,1,0.995,0.75014,0.71581,1.96356,1.3487,0.000776704,0.000776704,0.000776704
