epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.1653,0.96296,2.72692,1.36928,0.00367,1,0.55306,0.37461,0.29971,3.05106,1.03222,4e-05,4e-05,4e-05
2,27.5786,0.77568,2.54953,1.19367,0.00367,1,0.80872,0.61637,0.34139,3.04772,1.02588,6.7e-05,6.7e-05,6.7e-05
3,39.0965,0.82613,2.40234,1.19834,0.00367,1,0.9575,0.82809,0.34188,3.00857,1.01606,5.44e-05,5.44e-05,5.44e-05
