epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,607.118,0.83571,2.01592,1.19211,0.53595,0.42904,0.42969,0.29967,0.95505,2.25368,1.31319,0.000653846,0.000653846,0.000653846
2,6770.9,0.99193,1.74559,1.29621,0.3729,0.42229,0.33587,0.18667,1.23464,2.22702,1.62152,0.00130744,0.00130744,0.00130744
3,7171.93,1.09102,1.80558,1.37992,0.39011,0.41979,0.34225,0.20825,1.38437,3.05649,1.781,0.00194783,0.00194783,0.00194783
4,7577.29,1.08844,1.63641,1.3589,0.40438,0.43774,0.36818,0.24216,1.26959,2.04987,1.52442,0.0019406,0.0019406,0.0019406
5,7969.59,1.06122,1.60198,1.35219,0.38505,0.48722,0.38991,0.26769,1.13106,2.15353,1.45923,0.0019208,0.0019208,0.0019208
6,8371.71,1.05005,1.54007,1.34366,0.39845,0.43556,0.35605,0.21213,1.26306,2.16006,1.63556,0.001901,0.001901,0.001901
7,8762.53,1.0313,1.52094,1.34424,0.44717,0.42885,0.38728,0.23924,1.19039,2.0087,1.519,0.0018812,0.0018812,0.0018812
8,9158.77,0.99927,1.45116,1.30338,0.53132,0.56824,0.52586,0.36448,1.03855,1.60456,1.37423,0.0018614,0.0018614,0.0018614
9,9571.2,0.97728,1.41527,1.29921,0.52485,0.58293,0.53638,0.38059,0.99039,1.4163,1.32486,0.0018416,0.0018416,0.0018416
10,9986.43,0.94616,1.36262,1.27898,0.47337,0.56063,0.48138,0.34751,0.95392,1.85835,1.29276,0.0018218,0.0018218,0.0018218
11,13582.7,0.94688,1.34557,1.26959,0.52698,0.57858,0.53465,0.39222,0.94633,1.46507,1.27227,0.001802,0.001802,0.001802
12,13999.5,0.94523,1.319,1.28397,0.59445,0.58782,0.59569,0.43285,0.91219,1.38751,1.31528,0.0017822,0.0017822,0.0017822
13,14414,0.89529,1.27262,1.23854,0.54244,0.56389,0.53994,0.37556,0.97679,1.44123,1.35093,0.0017624,0.0017624,0.0017624
14,14829.4,0.9059,1.26092,1.24794,0.60473,0.65198,0.62833,0.47119,0.9023,1.25145,1.24865,0.0017426,0.0017426,0.0017426
15,31516.6,0.91285,1.23077,1.26529,0.55728,0.66721,0.61378,0.47523,0.84559,1.26379,1.19273,0.0017228,0.0017228,0.0017228
16,33709.2,0.87174,1.2093,1.24009,0.62224,0.65924,0.64575,0.49163,0.83475,1.20257,1.21649,0.001703,0.001703,0.001703
