epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9444.47,0.67996,0.84162,1.14513,0.6852,0.63986,0.70329,0.55082,0.78414,1.3429,1.23494,0.00132868,0.00132868,0.00132868
43,9669.82,0.68052,0.85245,1.13604,0.75138,0.7322,0.73365,0.5894,0.76009,1.0856,1.23771,0.00132043,0.00132043,0.00132043
44,9895.21,0.71045,0.84635,1.12714,0.83755,0.70316,0.76031,0.61911,0.73943,1.10311,1.21641,0.00131218,0.00131218,0.00131218
45,10119.8,0.67611,0.76745,1.12551,0.79571,0.64015,0.70211,0.57315,0.76737,1.15511,1.23206,0.00130393,0.00130393,0.00130393
46,10344.8,0.68366,0.83291,1.14035,0.75884,0.73795,0.74278,0.60805,0.75191,1.09725,1.22978,0.00129568,0.00129568,0.00129568
47,10570.3,0.65378,0.79529,1.12322,0.73202,0.68363,0.70506,0.58085,0.75857,1.21023,1.23576,0.00128742,0.00128742,0.00128742
48,10801.4,0.67892,0.7738,1.1212,0.75698,0.70966,0.74402,0.60489,0.73791,1.01722,1.18247,0.00127917,0.00127917,0.00127917
49,11027.1,0.6466,0.75634,1.09984,0.74822,0.74184,0.71852,0.59399,0.71013,1.0876,1.19314,0.00127092,0.00127092,0.00127092
50,11252.3,0.65839,0.77349,1.10887,0.80188,0.69576,0.74632,0.61194,0.72513,1.04259,1.19722,0.00126267,0.00126267,0.00126267
51,11477.3,0.6333,0.7299,1.092,0.82991,0.67115,0.75327,0.58778,0.76155,1.03669,1.22392,0.00125442,0.00125442,0.00125442
52,11702,0.65959,0.76871,1.11536,0.7649,0.74122,0.75499,0.60588,0.76861,0.98097,1.21844,0.00124617,0.00124617,0.00124617
53,11926.7,0.6477,0.71658,1.09912,0.70574,0.73235,0.73233,0.59707,0.69158,1.03262,1.16345,0.00123791,0.00123791,0.00123791
54,12151.7,0.64867,0.705,1.09875,0.69879,0.76727,0.69839,0.55424,0.79816,1.20147,1.27717,0.00122966,0.00122966,0.00122966
55,12376.1,0.63443,0.73769,1.10091,0.70053,0.74358,0.71011,0.56332,0.74178,1.20715,1.2084,0.00122141,0.00122141,0.00122141
56,12600.7,0.64798,0.71797,1.10153,0.78832,0.75767,0.74721,0.60725,0.74159,1.03094,1.22238,0.00121316,0.00121316,0.00121316
57,12826.6,0.62645,0.70749,1.09547,0.72025,0.74465,0.69511,0.5686,0.73901,1.1589,1.23417,0.00120491,0.00120491,0.00120491
