epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,532.048,3.18583,3.57374,4.14589,0.0039,0.48668,0.02718,0.0085,2.81475,3.68043,4.07381,0.000653846,0.000653846,0.000653846
2,1163.07,2.99535,3.30592,3.70301,0.05027,0.11039,0.02264,0.00738,2.75004,3.6078,3.74338,0.00130744,0.00130744,0.00130744
3,1621.06,2.67886,3.1656,3.29997,0.07765,0.22512,0.05715,0.01977,2.4071,3.33013,3.21754,0.00194783,0.00194783,0.00194783
4,2055.46,2.43525,2.96696,3.00688,0.09548,0.10223,0.04331,0.01839,2.30677,10.1589,3.09518,0.0019406,0.0019406,0.0019406
5,4086.5,2.25123,2.83932,2.8551,0.14723,0.21479,0.10243,0.0439,2.08763,3.57946,2.88874,0.0019208,0.0019208,0.0019208
