epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1421.41,0.57842,0.78947,1.02407,0.61186,0.71727,0.73918,0.38744,1.75421,2.09121,2.75294,0.0011684,0.0011684,0.0011684
44,1440.22,0.63309,0.79319,1.02439,0.74547,0.81818,0.86254,0.5212,1.51941,1.68917,2.6706,0.0011486,0.0011486,0.0011486
45,1459.02,0.5223,0.71175,0.98741,0.74547,0.81818,0.86254,0.5212,1.51941,1.68917,2.6706,0.0011288,0.0011288,0.0011288
46,1477.87,0.6772,0.76462,1.08187,0.91348,0.96171,0.98,0.80303,0.81297,1.28711,1.4742,0.001109,0.001109,0.001109
47,1496.93,0.60672,0.80955,1.09968,0.95748,1,0.995,0.84145,0.61444,1.06269,1.26671,0.0010892,0.0010892,0.0010892
48,1515.57,0.56976,0.7547,1.04128,0.9874,1,0.995,0.89579,0.59103,1.00282,1.19006,0.0010694,0.0010694,0.0010694
49,1534.1,0.59324,0.696,1.01065,0.9874,1,0.995,0.89579,0.59103,1.00282,1.19006,0.0010496,0.0010496,0.0010496
50,1552.66,0.57328,0.72615,1.01553,0.99103,1,0.995,0.91028,0.56515,1.02625,1.20461,0.0010298,0.0010298,0.0010298
51,1571.56,0.52283,0.74897,0.9838,0.91594,1,0.995,0.90751,0.57068,1.08756,1.21022,0.00101,0.00101,0.00101
52,1590.35,0.60892,0.69533,1.01578,1,0.995,0.995,0.87082,0.6148,1.08962,1.28007,0.0009902,0.0009902,0.0009902
53,1608.96,0.49607,0.64644,0.96911,1,0.995,0.995,0.87082,0.6148,1.08962,1.28007,0.0009704,0.0009704,0.0009704
54,1627.69,0.51903,0.64847,0.99569,0.91418,0.97014,0.9875,0.84502,0.68996,1.29938,1.32922,0.0009506,0.0009506,0.0009506
55,1646.51,0.54908,0.66223,1.02426,0.90696,1,0.9725,0.78422,0.72894,1.27764,1.33442,0.0009308,0.0009308,0.0009308
56,1665.37,0.56476,0.64661,0.96977,0.91386,1,0.9725,0.83246,0.65424,1.17426,1.24968,0.000911,0.000911,0.000911
57,1684.02,0.47735,0.61075,0.97303,0.91386,1,0.9725,0.83246,0.65424,1.17426,1.24968,0.0008912,0.0008912,0.0008912
